size,nthreads_per_process,total_nthreads,time
72,1,72,12.770956
72,1,72,12.780621
72,1,72,12.778211
72,1,72,12.771786
72,1,72,12.780680
60,1,60,15.323286
60,1,60,15.345318
60,1,60,15.321308
60,1,60,15.326488
60,1,60,15.343406
48,1,48,19.193610
48,1,48,19.200120
48,1,48,19.177030
48,1,48,19.212759
48,1,48,19.218598
36,1,36,25.587718
36,1,36,25.621304
36,1,36,25.552398
36,1,36,25.601611
36,1,36,25.572574
24,1,24,38.474501
24,1,24,38.557938
24,1,24,38.526570
24,1,24,38.464621
24,1,24,38.500118
12,1,12,77.092428
12,1,12,77.092110
12,1,12,77.023460
12,1,12,77.082241
12,1,12,77.111005
