size,nthreads_per_process,total_nthreads,time
64,1,64,12.059915
64,1,64,12.086326
64,1,64,12.081908
64,1,64,12.087314
64,1,64,12.087822
128,1,128,6.839558
128,1,128,6.912106
128,1,128,6.767897
128,1,128,6.774365
128,1,128,6.774245
192,1,192,4.357438
192,1,192,4.387521
192,1,192,4.353623
192,1,192,4.372573
192,1,192,4.359348
256,1,256,3.390147
256,1,256,3.400540
256,1,256,3.419364
256,1,256,3.404959
256,1,256,3.407124
320,1,320,2.675903
320,1,320,2.671066
320,1,320,2.665431
320,1,320,2.665574
320,1,320,2.661748
384,1,384,2.333536
384,1,384,2.262821
384,1,384,2.271474
384,1,384,2.287337
384,1,384,2.283074
448,1,448,1.916866
448,1,448,1.917267
448,1,448,1.930151
448,1,448,1.916851
448,1,448,1.915248
512,1,512,1.735702
512,1,512,1.700338
512,1,512,1.704285
512,1,512,1.704781
512,1,512,1.708074
