size,nthreads_per_process,total_nthreads,time
12,1,12,308.061392
12,1,12,309.222421
12,1,12,318.427577
12,1,12,310.723268
12,1,12,309.850949
24,1,24,171.277803
24,1,24,169.082020
24,1,24,171.804725
24,1,24,165.693505
24,1,24,164.155510
36,1,36,102.524561
36,1,36,102.180160
36,1,36,102.153865
36,1,36,102.169410
36,1,36,102.170403
48,1,48,76.713757
48,1,48,76.680042
48,1,48,76.701100
48,1,48,76.651735
48,1,48,76.698409
60,1,60,61.332589
60,1,60,61.331241
60,1,60,61.357662
60,1,60,61.379263
60,1,60,61.362342
72,1,72,51.127163
72,1,72,51.151964
72,1,72,51.161588
72,1,72,51.186160
72,1,72,51.125247
