size,nthreads_per_process,total_nthreads,time
2,1,2,148.074098
2,1,2,149.400453
2,1,2,147.195520
2,1,2,147.019817
2,1,2,149.304839
2,2,4,74.043996
2,2,4,73.895319
2,2,4,73.933162
2,2,4,73.979850
2,2,4,74.002942
2,4,8,37.014003
2,4,8,37.121906
2,4,8,37.023972
2,4,8,36.998336
2,4,8,37.020332
2,6,12,24.698821
2,6,12,24.661745
2,6,12,24.635417
2,6,12,24.651736
2,6,12,24.654883
2,8,16,18.523309
2,8,16,18.525934
2,8,16,18.500773
2,8,16,18.575923
2,8,16,18.522176
2,10,20,14.843222
2,10,20,14.834286
2,10,20,14.916636
2,10,20,14.832905
2,10,20,14.835397
2,12,24,12.477938
2,12,24,12.428564
2,12,24,12.394152
2,12,24,12.614562
2,12,24,12.396402
